transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
03/28/2025 05:00:00 PM,subway,272,"36 St (M,R)",Queens,omny,OMNY - Other,2,0,40.75204,-73.92878,POINT (-73.92878 40.75204)
03/28/2025 05:00:00 PM,subway,301,181 St (1),Manhattan,omny,OMNY - Full Fare,250,22,40.849506,-73.93359,POINT (-73.93359 40.849506)
03/28/2025 06:00:00 PM,subway,383,183 St (4),Bronx,omny,OMNY - Full Fare,58,1,40.858406,-73.90388,POINT (-73.90388 40.858406)
03/28/2025 07:00:00 PM,subway,451,Junction Blvd (7),Queens,omny,OMNY - Fair Fare,3,0,40.749146,-73.86953,POINT (-73.86953 40.749146)
03/28/2025 08:00:00 PM,subway,87,"Crescent St (J,Z)",Brooklyn,omny,OMNY - Students,5,0,40.683193,-73.87379,POINT (-73.87379 40.683193)
03/28/2025 05:00:00 PM,subway,606,"Court Sq (E,G,M,7)",Queens,omny,OMNY - Other,18,0,40.747845,-73.94383,POINT (-73.94383 40.747845)
03/28/2025 09:00:00 PM,subway,476,86 St (Q),Manhattan,omny,OMNY - Full Fare,459,11,40.77789,-73.95179,POINT (-73.95179 40.77789)
04/02/2025 02:00:00 AM,subway,320,23 St (1),Manhattan,metrocard,Metrocard - Other,2,0,40.74408,-73.99566,POINT (-73.99566 40.74408)
04/02/2025 02:00:00 AM,subway,424,"Pelham Pkwy (2,5)",Bronx,omny,OMNY - Students,2,0,40.857193,-73.867615,POINT (-73.867615 40.857193)
04/02/2025 03:00:00 AM,subway,333,"Wall St (2,3)",Manhattan,omny,OMNY - Full Fare,1,0,40.70682,-74.0091,POINT (-74.0091 40.70682)
04/02/2025 07:00:00 AM,subway,361,Buhre Av (6),Bronx,omny,OMNY - Full Fare,341,36,40.84681,-73.832565,POINT (-73.832565 40.84681)
04/02/2025 08:00:00 AM,subway,286,Broadway (G),Brooklyn,omny,OMNY - Full Fare,238,6,40.706093,-73.95031,POINT (-73.95031 40.706093)
04/02/2025 11:00:00 AM,subway,114,Central Av (M),Brooklyn,omny,OMNY - Fair Fare,1,0,40.697857,-73.9274,POINT (-73.9274 40.697857)
04/02/2025 11:00:00 AM,subway,252,Avenue X (F),Brooklyn,omny,OMNY - Other,4,0,40.58962,-73.97425,POINT (-73.97425 40.58962)
04/02/2025 02:00:00 PM,subway,260,"75 Av (E,F)",Queens,omny,OMNY - Other,1,0,40.71833,-73.837326,POINT (-73.837326 40.71833)
04/02/2025 04:00:00 PM,subway,282,21 St (G),Queens,omny,OMNY - Other,1,0,40.744064,-73.94972,POINT (-73.94972 40.744064)
04/02/2025 04:00:00 PM,subway,33,45 St (R),Brooklyn,omny,OMNY - Students,37,0,40.648937,-74.01001,POINT (-74.01001 40.648937)
04/02/2025 07:00:00 PM,subway,35,"59 St (N,R)",Brooklyn,omny,OMNY - Fair Fare,1,0,40.64136,-74.01788,POINT (-74.01788 40.64136)
04/02/2025 11:00:00 PM,subway,476,86 St (Q),Manhattan,omny,OMNY - Full Fare,95,2,40.77789,-73.95179,POINT (-73.95179 40.77789)
04/02/2025 02:00:00 AM,subway,213,"Fordham Rd (B,D)",Bronx,omny,OMNY - Full Fare,4,0,40.861298,-73.89775,POINT (-73.89775 40.861298)
04/02/2025 07:00:00 AM,subway,268,"65 St (M,R)",Queens,omny,OMNY - Other,3,0,40.74967,-73.89845,POINT (-73.89845 40.74967)
04/02/2025 10:00:00 AM,subway,245,18 Av (F),Brooklyn,omny,OMNY - Fair Fare,1,0,40.629753,-73.976974,POINT (-73.976974 40.629753)
04/02/2025 10:00:00 AM,subway,280,Jamaica-Van Wyck (E),Queens,omny,OMNY - Students,8,0,40.702564,-73.81686,POINT (-73.81686 40.702564)
